State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8098471223910843	0.04304645238278154	0.0	0.012797704883011084	0.0	3.8109060953989685E-4	0.023305703027163432	0.02696125994498472	0.08366066676143505	0.0
2	0.11192711135190092	0.7275015565093302	0.11705740065700307	0.0028261515162617368	0.0053097691899320525	0.032474849301050865	0.0	0.0	0.002903161474521089	0.0
3	0.0	0.00985835693797688	0.9598029384259166	0.025553330075930122	0.0025658629277505885	1.0258792366111545E-4	0.0	0.0	0.0020957694787111323	2.1154230053449477E-5
4	7.862952122629792E-4	7.204762780515436E-5	0.00665806820772506	0.9696095498836977	0.009103442897562918	6.513965096434854E-4	0.0010121364195569812	0.0	0.011757252856504401	3.4981038524127E-4
5	3.0156395105148733E-5	5.717415602219003E-4	0.0037016586591379647	0.04880292683851328	0.9455058371389349	4.683046551104455E-4	1.1186523059334679E-4	0.0	8.075095223829995E-4	0.0
6	3.6142711282981374E-5	0.0026864813039154233	1.1417353260329428E-4	0.0023518351182599175	2.4469037133525014E-4	0.9490554587012896	0.04459560960910688	2.632145805131407E-4	5.084386985158146E-4	1.4395537317771762E-4
7	2.3814893408359114E-4	0.0	0.0	1.803360273538495E-4	1.825651937762385E-7	0.0020139371439987213	0.9768457936750331	0.01931562950808285	0.0010659516793724384	3.4002046688154077E-4
8	0.006472181750660678	0.0	0.0	0.0	0.0	2.0736629736193993E-4	0.4482471413713389	0.5443785082666581	6.948023139803299E-4	0.0
9	0.039065826428941956	6.133357886354055E-4	0.005082389025504448	0.09828786331718556	0.0010972653629934884	0.001089895172082324	0.055843578755446086	0.0020566185342162824	0.7853796279634462	0.01148359965154856
10	0.0	0.0012711414505780802	2.828844024099549E-5	0.006822370589384317	3.247779409897159E-5	6.057421462670095E-4	0.03340360809509907	0.0	0.019194996779626244	0.9386413747047053
